"AK"	0.02
"AL"	0.05
"AR"	0.03
"AS"	0.00
"AZ"	0.06
"CA"	0.21
"CO"	0.07
"CT"	0.12
"CZ"	0.00
"DC"	0.03
"DE"	0.16
"FL"	0.07
"GA"	0.07
"GU"	0.00
"HI"	0.02
"IA"	0.07
"ID"	0.11
"IL"	0.14
"IN"	0.11
"KS"	0.04
"KY"	0.06
"LA"	0.07
"MA"	0.12
"MD"	0.08
"ME"	0.04
"MI"	0.16
"MN"	0.12
"MO"	0.08
"MS"	0.03
"MT"	0.06
"NC"	0.07
"ND"	0.03
"NE"	0.04
"NH"	0.05
"NJ"	0.18
"NM"	0.04
"NV"	0.05
"NY"	0.18
"OH"	0.14
"OK"	0.16
"OR"	0.07
"PA"	0.14
"PR"	0.02
"RI"	0.05
"SC"	0.08
"SD"	0.03
"TN"	0.07
"TX"	0.16
"US"	0.00
"UT"	0.07
"VA"	0.06
"VI"	0.01
"VT"	0.06
"WA"	0.07
"WI"	0.10
"WV"	0.09
"WY"	0.02
